Chr01	2880	F	2
Chr01	2883	F	3
Chr01	2884	F	1
Chr01	2897	F	1
Chr01	2902	F	1
Chr01	2903	F	21
Chr01	2907	F	1
Chr01	2925	F	1
Chr01	2926	F	34
Chr01	2928	F	8
Chr01	2930	F	6
Chr01	2931	F	7
Chr01	2932	F	5
Chr01	2933	F	2
Chr01	2934	F	35
Chr01	2935	F	6
Chr01	2936	F	23
Chr01	2937	F	2
Chr01	2946	F	1
Chr01	2952	F	2
Chr01	2953	F	7
Chr01	2954	F	7
Chr01	2955	F	1
Chr01	2957	F	2
Chr01	2958	F	1
Chr01	2959	F	1
Chr01	2961	F	1
Chr01	2977	F	1
Chr01	2978	F	1
Chr01	2982	F	3
Chr01	2983	F	97
Chr01	2984	F	2
Chr01	2985	F	5
Chr01	2986	F	65
Chr01	2987	F	8
Chr01	2988	F	1
Chr01	2989	F	22
Chr01	2990	F	2
Chr01	2992	F	3
Chr01	2993	F	5
Chr01	3001	F	2
Chr01	3002	F	1
Chr01	3009	F	2
Chr01	3018	F	6
Chr01	3021	F	16
Chr01	3030	F	1
Chr01	3073	F	2
Chr01	3074	F	1
Chr01	3095	F	1
Chr01	3099	F	8
Chr01	3111	F	1
Chr01	3116	F	1
Chr01	3119	F	1
Chr01	3120	F	3
Chr01	3127	F	1
Chr01	3143	F	1
Chr01	3151	F	1
Chr01	3152	F	2
Chr01	3154	F	2
Chr01	3163	F	5
Chr01	3166	F	1
Chr01	3168	F	2
Chr01	3169	F	1
Chr01	4457	F	1
Chr01	7133	F	1
Chr01	7135	F	12
Chr01	7138	F	1
Chr01	7143	F	2
Chr01	7166	F	1
Chr01	7190	F	1
Chr01	7195	F	2
Chr01	7213	F	1
Chr01	7231	F	4
Chr01	7264	F	1
Chr01	7267	F	1
Chr01	7273	F	1
Chr01	7348	F	1
Chr01	7353	F	1
Chr01	7355	F	1
Chr01	7368	F	1
Chr01	7386	F	1
Chr01	7387	F	1
Chr01	7390	F	1
Chr01	7408	F	2
Chr01	7432	F	2
Chr01	7490	F	1
Chr01	7492	F	1
Chr01	7501	F	2
Chr01	7521	F	1
